Period,March 7, 2024 - October 9, 2024,
,
Time,Addiscombe Rd,Auburn Rd & Mary St,Auburn Rd eastern footpath,Belmore Rd,Bourke Street & Lachlan Street,Coles St,Collins Street,Concord Rd East footpath,Concord Rd West footpath,Correys Ave,Doncaster Ave North of Todman Ave,Evaline St North side,Evaline St South side,Houston Rd and Day Ave,Kenneth Rd,Oliver St & Brighton St (East),Oliver St & Brighton St (West),Oliver Street (east footpath),Oliver Street (west footpath),Parramatta Rd footpath,Perouse Rd footpath,Rainbow street,St Pauls Street footpath,
2024-03-07 00:00:00,,,,,,,,,,,,,,1173,,,,,,,,,,
2024-03-08 00:00:00,,,,,,,,,,,,,,423,,,,,,,,,,
2024-03-09 00:00:00,,,,,,,,,,,,,,314,,,,,,,,,,
2024-03-10 00:00:00,,,,,,,,,,,,,,285,,,,,,,,,,
2024-03-11 00:00:00,,,,,,,,,,,,,,434,,,,,,,,,,
2024-03-12 00:00:00,,,,,,,,,,,,,,454,,,,,,,,,,
2024-03-13 00:00:00,,,,,,,,,,,,,,423,,,,,,,,,,
2024-03-14 00:00:00,,,,,,,,,,,,,,458,,,,,,,,,,
2024-03-15 00:00:00,,,,3091,,,,,,,,,,,,,,,,,,,,
2024-03-16 00:00:00,,,,3561,,,,,,,,,,,,,,,,,,,,
2024-03-17 00:00:00,,,,2755,,,,,,,,,,,,,,,,,,,,
2024-03-18 00:00:00,,,,3800,,,,,,,,,,,,,,,,,,,,
2024-03-19 00:00:00,,,,851,,,,,,,,,,,,,,,,,,,,
2024-03-20 00:00:00,,,,323,,,,,,,,,,,,,,,,,,,,
2024-03-21 00:00:00,,,,1999,,,,,,,,,,,,,,,,,,,,
2024-03-22 00:00:00,,,,3496,,,,,,,,,,,,,,,,,,,,
2024-03-23 00:00:00,,,,3806,,,,,,,,,,,,,,,,,,,,
2024-03-24 00:00:00,,,,3439,,,,,,,,,,,,,,,,,,,,
2024-03-25 00:00:00,,,,4136,,,,,,,,,,,,,,,,,,,,
2024-03-26 00:00:00,,,,3783,,,,,,,,,,,,,,,,,,,,
2024-03-27 00:00:00,,,,630,,,,,,,,,,,,,,,,,,,,
2024-03-28 00:00:00,,,,,,,,,,,659,,,,,,,,,,,,,
2024-03-29 00:00:00,,,,,,,,,,,747,,,,,,,,,,,,,
2024-03-30 00:00:00,,,,,,,,,,,664,,,,,,,,,,,,,
2024-03-31 00:00:00,,,,,,,,,,,1050,,,,,,,,,,,,,
2024-04-01 00:00:00,,,,,,,,,,,778,,,,,,,,,,,,,
2024-04-02 00:00:00,,,,,,,,,,,927,,,,,,,,,,,,,
2024-04-03 00:00:00,,,,,,,,,,,1161,,,,,,,,,,,,,
2024-04-04 00:00:00,,,,,,,,,,,769,,,,,,,,,,,,,
2024-04-05 00:00:00,,,,,,,,,,,185,,,,,,,,,,,,,
2024-04-06 00:00:00,,,,,,,,,,,1310,,,,,,,,,,,,,
2024-04-07 00:00:00,,,,,,,,,,,1003,,,,,,,,,,,,,
2024-04-08 00:00:00,,,,,,,,,,,1099,,,,,,,,,,,,,
2024-04-09 00:00:00,,,,,,,,,,,420,,,,,,,,,,,,,
2024-04-10 00:00:00,,,,,490,,,,,,,,,,,,,,,,,,,
2024-04-11 00:00:00,,,,,1246,,,,,,,,,,,,,,,,,,,
2024-04-12 00:00:00,,,,,1234,,,,,,,,,,,,,,,,,,,
2024-04-13 00:00:00,,,,,1265,,,,,,,,,,,,,,,,,,,
2024-04-14 00:00:00,,,,,1019,,,,,,,,,,,,,,,,,,,
2024-04-15 00:00:00,,,,,1339,,,,,,,,,,,,,,,,,,,
2024-04-16 00:00:00,,,,,1306,,,,,,,,,,,,,,,,,,,
2024-04-17 00:00:00,,,,,1227,,,,,,,,,,,,,,,,,,,
2024-04-18 00:00:00,,,,,1067,,,,,,,,,,,,,,,,,,,
2024-04-19 00:00:00,,,,,1115,,,,,,,,,,,,,,,,,,,
2024-04-20 00:00:00,,,,,93,,232,,,,,,,,,,,,,,,,,
2024-04-21 00:00:00,,,,,,,337,,,,,,,,,,,,,,,,,
2024-04-22 00:00:00,,,,,,,461,,,,,,,,,,,,,,,,,
2024-04-23 00:00:00,,,,,,,520,,,,,,,,,,,,,,,,,
2024-04-24 00:00:00,,,,,,,509,,,,,,,,,,,,,,,,,
2024-04-25 00:00:00,,,,,,,266,,,,,,,,,,,,,,,,,
