Period,7th March 2024 00:00 -> 21st May 2025 09:45,

Time,53 Perouse Rd,Addiscombe Rd,Auburn Rd & Mary St,Auburn Rd eastern footpath,Belmore Rd,Blaxcell St A,Blaxcell St B,Blaxcell St C,Bourke Street & Lachlan Street,"Civic Park, Pendle Hill",Coles St,Collins Street,Concord Rd East footpath,Concord Rd West footpath,Correys Ave,Doncaster Ave North of Todman Ave,Elizabeth St A,Elizabeth St B,Evaline St North side,Evaline St South side,Houston Rd and Day Ave,Kenneth Rd,Lidcombe town centre,Oliver St & Brighton St (East),Oliver St & Brighton St (West),Oliver Street (east footpath),Oliver Street (west footpath),Parramatta Rd footpath,Perouse Rd footpath,Rainbow street,St Pauls Street footpath,
Thu 7th Mar 2024,,,,,,,,,,,,,,,,,,,,,1173,,,,,,,,,,,
Fri 8th Mar 2024,,,,,,,,,,,,,,,,,,,,,423,,,,,,,,,,,
Sat 9th Mar 2024,,,,,,,,,,,,,,,,,,,,,314,,,,,,,,,,,
Sun 10th Mar 2024,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,
Mon 11th Mar 2024,,,,,,,,,,,,,,,,,,,,,434,,,,,,,,,,,
Tue 12th Mar 2024,,,,,,,,,,,,,,,,,,,,,454,,,,,,,,,,,
Wed 13th Mar 2024,,,,,,,,,,,,,,,,,,,,,423,,,,,,,,,,,
Thu 14th Mar 2024,,,,,,,,,,,,,,,,,,,,,458,,,,,,,,,,,
Fri 15th Mar 2024,,,,,3091,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 16th Mar 2024,,,,,3561,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 17th Mar 2024,,,,,2755,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 18th Mar 2024,,,,,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 19th Mar 2024,,,,,851,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 20th Mar 2024,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 21st Mar 2024,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 22nd Mar 2024,,,,,3496,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 23rd Mar 2024,,,,,3806,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 24th Mar 2024,,,,,3439,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 25th Mar 2024,,,,,4136,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 26th Mar 2024,,,,,3783,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 27th Mar 2024,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 28th Mar 2024,,,,,,,,,,,,,,,,659,,,,,,,,,,,,,,,,
Fri 29th Mar 2024,,,,,,,,,,,,,,,,747,,,,,,,,,,,,,,,,
Sat 30th Mar 2024,,,,,,,,,,,,,,,,664,,,,,,,,,,,,,,,,
Sun 31st Mar 2024,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,
Mon 1st Apr 2024,,,,,,,,,,,,,,,,778,,,,,,,,,,,,,,,,
Tue 2nd Apr 2024,,,,,,,,,,,,,,,,927,,,,,,,,,,,,,,,,
Wed 3rd Apr 2024,,,,,,,,,,,,,,,,1161,,,,,,,,,,,,,,,,
Thu 4th Apr 2024,,,,,,,,,,,,,,,,769,,,,,,,,,,,,,,,,
Fri 5th Apr 2024,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,
Sat 6th Apr 2024,,,,,,,,,,,,,,,,1310,,,,,,,,,,,,,,,,
Sun 7th Apr 2024,,,,,,,,,,,,,,,,1003,,,,,,,,,,,,,,,,
Mon 8th Apr 2024,,,,,,,,,,,,,,,,1099,,,,,,,,,,,,,,,,
Tue 9th Apr 2024,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,
Wed 10th Apr 2024,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,,,,
Thu 11th Apr 2024,,,,,,,,,1246,,,,,,,,,,,,,,,,,,,,,,,
Fri 12th Apr 2024,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,
Sat 13th Apr 2024,,,,,,,,,1265,,,,,,,,,,,,,,,,,,,,,,,
Sun 14th Apr 2024,,,,,,,,,1019,,,,,,,,,,,,,,,,,,,,,,,
Mon 15th Apr 2024,,,,,,,,,1339,,,,,,,,,,,,,,,,,,,,,,,
Tue 16th Apr 2024,,,,,,,,,1306,,,,,,,,,,,,,,,,,,,,,,,
Wed 17th Apr 2024,,,,,,,,,1227,,,,,,,,,,,,,,,,,,,,,,,
Thu 18th Apr 2024,,,,,,,,,1067,,,,,,,,,,,,,,,,,,,,,,,
Fri 19th Apr 2024,,,,,,,,,1115,,,,,,,,,,,,,,,,,,,,,,,
Sat 20th Apr 2024,,,,,,,,,93,,,232,,,,,,,,,,,,,,,,,,,,
Sun 21st Apr 2024,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,
Mon 22nd Apr 2024,,,,,,,,,,,,461,,,,,,,,,,,,,,,,,,,,
Tue 23rd Apr 2024,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,
Wed 24th Apr 2024,,,,,,,,,,,,509,,,,,,,,,,,,,,,,,,,,
Thu 25th Apr 2024,,,,,,,,,,,,266,,,,,,,,,,,,,,,,,,,,
Fri 26th Apr 2024,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,
Sat 27th Apr 2024,,,,,,,,,,,,391,,,,,,,,,,,,,,,,,,,,
Sun 28th Apr 2024,,,,,,,,,,,,338,,,,,,,,,,,,,,,,,,,,
Mon 29th Apr 2024,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,211,,
Tue 30th Apr 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,,
Wed 1st May 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,,
Thu 2nd May 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,,
Fri 3rd May 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,,
Sat 4th May 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,
Sun 5th May 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,
Mon 6th May 2024,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,220,,
Tue 7th May 2024,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,,,
Wed 8th May 2024,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,
Thu 9th May 2024,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,
Fri 10th May 2024,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,
Sat 11th May 2024,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,
Sun 12th May 2024,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,
Mon 13th May 2024,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,
Tue 14th May 2024,,,,,,,,,,,,,737,115,,,,,,,,,,,,,,,,,,
Wed 15th May 2024,,,,,,,,,,,,,952,210,,,,,,,,,,,,,,,,,,
Thu 16th May 2024,,,,,,,,,,,,,1145,208,,,,,,,,,,,,,,,,,,
Fri 17th May 2024,,,,,,,,,,,,,1121,161,,,,,,,,,,,,,,,,,,
Sat 18th May 2024,,,,,,,,,,,,,1044,111,,,,,,,,,,,,,,,,,,
Sun 19th May 2024,,,,,,,,,,,,,991,131,,,,,,,,,,,,,,,,,,
Mon 20th May 2024,,,,,,,,,,,,,244,121,,,,,709,1535,,,,,,,,,,,,
