Period,7th March 2024 00:00 -> 21st May 2025 09:45,

Time,53 Perouse Rd,Addiscombe Rd,Auburn Rd & Mary St,Auburn Rd eastern footpath,Belmore Rd,Blaxcell St A,Blaxcell St B,Blaxcell St C,Bourke Street & Lachlan Street,"Civic Park, Pendle Hill",Coles St,Collins Street,Concord Rd East footpath,Concord Rd West footpath,Correys Ave,Doncaster Ave North of Todman Ave,Elizabeth St A,Elizabeth St B,Evaline St North side,Evaline St South side,Houston Rd and Day Ave,Kenneth Rd,Lidcombe town centre,Oliver St & Brighton St (East),Oliver St & Brighton St (West),Oliver Street (east footpath),Oliver Street (west footpath),Parramatta Rd footpath,Perouse Rd footpath,Rainbow street,St Pauls Street footpath,
7th Mar 2024 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 01:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 02:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 03:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 04:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 05:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 06:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 07:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 08:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 09:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 10:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 11:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 12:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 13:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7th Mar 2024 14:00,,,,,,,,,,,,,,,,,,,,,588,,,,,,,,,,,
7th Mar 2024 15:00,,,,,,,,,,,,,,,,,,,,,394,,,,,,,,,,,
7th Mar 2024 16:00,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,
